Year,#motorcycles
1945,50
1946,60
1947,72
1948,74
1949,82
1950,95
1951,106
1952,115
1953,118
1954,130
1955,146
1956,162
1957,169
1958,173
1959,176
1960,173
1961,170
1962,163
1963,156
1964,150
1965,140
1966,129
1967,113
1968,98
1969,84
1970,72
1971,66
1972,60
1973,60
1974,64
1975,68
1976,72
1977,80
1978,92
1979,98
1980,103
1981,114
1982,122
1983,125
1984,127
1985,128
1986,127
1987,131
1988,135
1989,145
1990,162
1991,191
1992,232
1993,275
1994,306
1995,308
1996,335
1997,354
1998,373
1999,392
2000,414
2001,438
2002,461
2003,494
2004,516
2005,537
2006,553
2007,568
2008,585
2009,606
2010,623
2011,636
2012,647
